Date,Open,High,Low,Close,Adj Close,Volume
2019-01-24,4285.000000,4315.000000,4240.000000,4300.000000,4128.778320,16200
2019-01-25,4265.000000,4405.000000,4265.000000,4380.000000,4205.593750,37000
2019-01-28,4450.000000,4485.000000,4105.000000,4220.000000,4051.964111,143200
2019-01-29,4275.000000,4525.000000,4250.000000,4405.000000,4229.597656,300000
2019-01-30,4450.000000,4785.000000,4450.000000,4775.000000,4584.864746,256200
2019-01-31,4845.000000,4880.000000,4615.000000,4700.000000,4512.851074,146500
2019-02-01,4705.000000,4765.000000,4460.000000,4515.000000,4335.217285,148200
2019-02-04,4645.000000,4990.000000,4620.000000,4920.000000,4724.090820,252500
2019-02-05,4910.000000,4935.000000,4810.000000,4860.000000,4666.479980,45900
2019-02-06,4885.000000,4945.000000,4860.000000,4905.000000,4709.688477,46600
2019-02-07,4860.000000,4860.000000,4740.000000,4780.000000,4589.665527,44200
2019-02-08,4710.000000,4780.000000,4650.000000,4705.000000,4517.651855,41800
2019-02-12,4640.000000,4665.000000,4520.000000,4655.000000,4469.642578,101400
2019-02-13,4680.000000,4740.000000,4620.000000,4725.000000,4536.855469,40400
2019-02-14,4700.000000,4715.000000,4570.000000,4590.000000,4407.231445,55800
2019-02-15,4570.000000,4590.000000,4495.000000,4555.000000,4373.625000,48400
2019-02-18,4535.000000,4640.000000,4515.000000,4545.000000,4364.022949,49700
2019-02-19,4510.000000,4560.000000,4375.000000,4420.000000,4244.000488,143800
2019-02-20,4460.000000,4530.000000,4430.000000,4530.000000,4349.620605,68700
2019-02-21,4510.000000,4620.000000,4470.000000,4525.000000,4344.819336,74200
2019-02-22,4525.000000,4525.000000,4440.000000,4470.000000,4292.009277,29800
2019-02-25,4500.000000,4555.000000,4480.000000,4515.000000,4335.217285,37900
2019-02-26,4515.000000,4545.000000,4410.000000,4495.000000,4316.014160,63100
2019-02-27,4495.000000,4520.000000,4440.000000,4460.000000,4282.407715,32000
2019-02-28,4460.000000,4460.000000,4390.000000,4425.000000,4248.801270,45900
2019-03-01,4380.000000,4430.000000,4365.000000,4405.000000,4229.597656,32800
2019-03-04,4410.000000,4425.000000,4345.000000,4375.000000,4200.791992,39100
2019-03-05,4325.000000,4420.000000,4315.000000,4410.000000,4234.398438,35300
2019-03-06,4410.000000,4515.000000,4410.000000,4490.000000,4311.212891,44900
2019-03-07,4535.000000,4645.000000,4510.000000,4595.000000,4412.032227,66500
2019-03-08,4555.000000,4635.000000,4550.000000,4600.000000,4416.833008,52900
2019-03-11,4640.000000,4695.000000,4600.000000,4695.000000,4508.049805,27300
2019-03-12,4750.000000,4820.000000,4730.000000,4785.000000,4594.466797,68000
2019-03-13,4735.000000,4790.000000,4725.000000,4745.000000,4556.059082,24000
2019-03-14,4800.000000,4800.000000,4650.000000,4660.000000,4474.443848,36100
2019-03-15,4650.000000,4705.000000,4605.000000,4675.000000,4488.846191,57600
2019-03-18,4665.000000,4715.000000,4625.000000,4710.000000,4522.452637,17800
2019-03-19,4770.000000,4820.000000,4730.000000,4810.000000,4618.470703,59000
2019-03-20,4800.000000,4960.000000,4760.000000,4920.000000,4724.090820,79100
2019-03-22,4935.000000,5250.000000,4925.000000,5120.000000,4916.126953,127800
2019-03-25,5040.000000,5180.000000,5010.000000,5070.000000,4868.117676,46400
2019-03-26,5190.000000,5310.000000,5160.000000,5210.000000,5002.543457,81600
2019-03-27,5170.000000,5360.000000,5090.000000,5290.000000,5148.532227,130600
2019-03-28,5320.000000,5520.000000,5260.000000,5300.000000,5158.264648,96100
2019-03-29,5380.000000,5480.000000,5370.000000,5460.000000,5313.985840,56600
2019-04-01,5620.000000,5670.000000,5360.000000,5430.000000,5284.788574,53700
2019-04-02,5500.000000,5570.000000,5340.000000,5390.000000,5245.857910,35100
2019-04-03,5350.000000,5440.000000,5270.000000,5430.000000,5284.788574,69500
2019-04-04,5470.000000,5490.000000,5370.000000,5480.000000,5333.451172,23000
2019-04-05,5490.000000,5490.000000,5340.000000,5360.000000,5216.660645,33800
2019-04-08,5350.000000,5420.000000,5290.000000,5360.000000,5216.660645,32200
2019-04-09,5390.000000,5390.000000,5310.000000,5340.000000,5197.194824,11700
2019-04-10,5300.000000,5340.000000,5250.000000,5260.000000,5119.334473,17400
2019-04-11,5240.000000,5330.000000,5200.000000,5240.000000,5099.869141,20600
2019-04-12,5220.000000,5280.000000,5170.000000,5240.000000,5099.869141,31300
2019-04-15,5250.000000,5420.000000,5250.000000,5380.000000,5236.125488,33000
2019-04-16,5430.000000,5450.000000,5340.000000,5410.000000,5265.322754,30700
2019-04-17,5440.000000,5480.000000,5330.000000,5350.000000,5206.927246,29100
2019-04-18,5420.000000,5440.000000,5190.000000,5220.000000,5080.404297,38900
2019-04-19,5220.000000,5290.000000,5200.000000,5270.000000,5129.066895,18500
2019-04-22,5290.000000,5300.000000,5220.000000,5280.000000,5138.799316,20400
2019-04-23,5280.000000,5370.000000,5230.000000,5370.000000,5226.392578,32500
2019-04-24,5370.000000,5470.000000,5330.000000,5350.000000,5206.927246,40400
2019-04-25,5440.000000,5670.000000,5390.000000,5620.000000,5469.707031,81000
2019-04-26,5600.000000,5600.000000,5460.000000,5520.000000,5372.381348,39100
2019-05-07,5550.000000,5720.000000,5490.000000,5580.000000,5430.776367,41200
2019-05-08,5600.000000,5750.000000,5540.000000,5640.000000,5489.172363,61600
2019-05-09,5640.000000,5700.000000,5580.000000,5650.000000,5498.904297,52700
2019-05-10,5700.000000,5880.000000,5500.000000,5540.000000,5391.846680,102400
2019-05-13,5620.000000,5840.000000,5590.000000,5650.000000,5498.904297,71100
2019-05-14,5550.000000,5790.000000,5540.000000,5590.000000,5440.509277,112100
2019-05-15,5400.000000,5450.000000,5100.000000,5370.000000,5226.392578,189500
2019-05-16,5320.000000,5590.000000,5310.000000,5520.000000,5372.381348,80200
2019-05-17,5520.000000,5660.000000,5520.000000,5660.000000,5508.637695,51500
2019-05-20,5710.000000,5720.000000,5340.000000,5440.000000,5294.520508,84200
2019-05-21,5450.000000,5580.000000,5450.000000,5530.000000,5382.113770,41500
2019-05-22,5530.000000,5530.000000,5410.000000,5410.000000,5265.322754,40100
2019-05-23,5410.000000,5520.000000,5390.000000,5500.000000,5352.916504,32700
2019-05-24,5460.000000,5530.000000,5440.000000,5500.000000,5352.916504,21200
2019-05-27,5490.000000,5630.000000,5490.000000,5620.000000,5469.707031,31500
2019-05-28,5550.000000,5630.000000,5530.000000,5560.000000,5411.311523,23500
2019-05-29,5540.000000,5560.000000,5450.000000,5490.000000,5343.183594,25700
2019-05-30,5450.000000,5450.000000,5340.000000,5360.000000,5216.660645,38200
2019-05-31,5300.000000,5430.000000,5190.000000,5400.000000,5255.590332,42600
2019-06-03,5300.000000,5400.000000,5280.000000,5380.000000,5236.125488,21900
2019-06-04,5390.000000,5410.000000,5260.000000,5390.000000,5245.857910,31800
2019-06-05,5410.000000,5480.000000,5350.000000,5370.000000,5226.392578,21500
2019-06-06,5340.000000,5410.000000,5320.000000,5370.000000,5226.392578,6500
2019-06-07,5450.000000,5450.000000,5360.000000,5390.000000,5245.857910,11700
