Score,Scored by,Popularity Rank,Rating Rank,Members,Date
8.53,"490,945",36,932,"857,148",Tue Jun 04 2019 20:04:18 GMT-0400 (Eastern Daylight Time)
8.53,"491,142",36,932,"857,549",Wed Jun 05 2019 20:18:43 GMT-0400 (Eastern Daylight Time)
8.53,"491,276",36,932,"857,871",Thu Jun 06 2019 16:07:21 GMT-0400 (Eastern Daylight Time)
8.53,"491,433",36,932,"858,166",Fri Jun 07 2019 11:43:14 GMT-0400 (Eastern Daylight Time)
8.53,"491,479",36,932,"858,265",Fri Jun 07 2019 18:03:30 GMT-0400 (Eastern Daylight Time)
8.53,"491,496",36,932,"858,319",Fri Jun 07 2019 20:25:05 GMT-0400 (Eastern Daylight Time)
8.53,"491,496",36,932,"858,319",Fri Jun 07 2019 20:52:18 GMT-0400 (Eastern Daylight Time)
8.53,"491,529",36,932,"858,384",Sat Jun 08 2019 00:27:12 GMT-0400 (Eastern Daylight Time)
8.53,"491,794",35,932,"859,016",Sun Jun 09 2019 19:09:38 GMT-0400 (Eastern Daylight Time)
8.53,"491,805",35,932,"859,052",Sun Jun 09 2019 21:08:11 GMT-0400 (Eastern Daylight Time)
8.53,"491,911",36,932,"859,231",Mon Jun 10 2019 08:20:48 GMT-0400 (Eastern Daylight Time)
8.53,"491,919",36,932,"859,250",Mon Jun 10 2019 09:53:43 GMT-0400 (Eastern Daylight Time)
8.53,"491,986",36,932,"859,432",Mon Jun 10 2019 19:40:13 GMT-0400 (Eastern Daylight Time)
8.53,"492,165",36,932,"859,824",Tue Jun 11 2019 21:04:53 GMT-0400 (Eastern Daylight Time)
8.53,"492,371",36,932,"860,197",Thu Jun 13 2019 00:08:01 GMT-0400 (Eastern Daylight Time)
8.53,"492,371",36,932,"860,197",Thu Jun 13 2019 00:08:03 GMT-0400 (Eastern Daylight Time)
8.53,"492,395",36,932,"860,253",Thu Jun 13 2019 04:02:28 GMT-0400 (Eastern Daylight Time)
